52.5118,13.3216,0
52.5112,13.3232,122
52.5104,13.3241,146
52.5099,13.3250,132
52.5092,13.3260,139
52.5088,13.3266,138
52.5083,13.3261,211
52.5086,13.3253,302
52.5088,13.3240,284
52.5088,13.3231,270
52.5081,13.3227,199
52.5074,13.3226,185
52.5065,13.3225,184
52.5065,13.3232,90
52.5060,13.3231,187
52.5057,13.3241,116
52.5056,13.3268,94
52.5055,13.3281,97
52.5055,13.3297,90
52.5056,13.3308,82
52.5051,13.3317,132
52.5057,13.3321,22
52.5061,13.3323,17
52.5065,13.3332,54
52.5074,13.3336,15
52.5081,13.3340,19
52.5085,13.3342,17
52.5094,13.3320,304
52.5096,13.3311,290
52.5100,13.3298,297
52.5091,13.3289,211
52.5083,13.3282,208
52.5088,13.3270,304
52.5101,13.3251,318
52.5109,13.3238,315
52.5118,13.3228,326
