52.5130,13.3278,0
52.5132,13.3315,85
52.5135,13.3347,81
52.5136,13.3376,87
52.5138,13.3401,83
52.5140,13.3430,84
52.5143,13.3456,79
52.5144,13.3477,86
52.5150,13.3495,61
52.5144,13.3514,117
52.5137,13.3504,221
52.5122,13.3507,173
52.5113,13.3509,172
52.5105,13.3513,163
52.5096,13.3514,176
52.5087,13.3516,172
52.5075,13.3518,174
52.5068,13.3520,170
52.5060,13.3520,180
52.5050,13.3514,200
52.5040,13.3507,203
52.5033,13.3499,215
52.5036,13.3479,284
52.5042,13.3452,290
52.5046,13.3432,288
52.5051,13.3415,296
52.5054,13.3394,283
52.5052,13.3375,260
52.5053,13.3351,274
52.5059,13.3329,294
52.5065,13.3315,305
52.5073,13.3296,305
52.5083,13.3281,318
52.5091,13.3264,308
52.5101,13.3246,312
52.5109,13.3234,318
52.5117,13.3223,320
52.5126,13.3229,22
52.5129,13.3253,78
52.5129,13.3273,90
