52.5119,13.3115,0
52.5121,13.3144,84
52.5123,13.3167,82
52.5125,13.3192,83
52.5125,13.3206,90
52.5119,13.3224,119
52.5112,13.3232,145
52.5103,13.3243,143
52.5093,13.3256,142
52.5089,13.3269,117
52.5081,13.3280,140
52.5068,13.3280,180
52.5057,13.3278,186
52.5056,13.3244,267
52.5059,13.3219,281
52.5060,13.3188,273
52.5062,13.3154,276
52.5064,13.3124,276
52.5066,13.3091,276
52.5066,13.3064,270
52.5068,13.3032,276
52.5068,13.3002,270
52.5068,13.2977,270
52.5068,13.2955,270
52.5068,13.2939,270
52.5067,13.2917,266
52.5066,13.2896,266
52.5071,13.2892,334
52.5076,13.2902,51
52.5080,13.2919,69
52.5089,13.2940,55
52.5098,13.2949,31
52.5107,13.2960,37
52.5111,13.2977,69
52.5112,13.3004,87
52.5113,13.3028,86
52.5114,13.3048,85
52.5117,13.3074,79
52.5118,13.3096,86
52.5119,13.3112,84
