52.5160,13.3237,0
52.5153,13.3231,208
52.5146,13.3226,204
52.5141,13.3224,194
52.5135,13.3224,180
52.5133,13.3208,258
52.5137,13.3191,291
52.5139,13.3175,282
52.5144,13.3156,293
52.5147,13.3147,299
52.5154,13.3156,38
52.5163,13.3165,31
52.5171,13.3169,17
52.5178,13.3175,28
52.5184,13.3181,31
52.5191,13.3190,38
52.5185,13.3204,125
52.5180,13.3214,129
52.5178,13.3228,103
52.5172,13.3235,145
52.5169,13.3247,112
52.5165,13.3255,129
52.5160,13.3265,129
52.5153,13.3274,142
52.5147,13.3283,138
52.5142,13.3292,132
52.5138,13.3297,143
52.5130,13.3305,149
52.5116,13.3310,168
52.5109,13.3306,199
52.5104,13.3301,211
52.5098,13.3294,215
52.5092,13.3289,207
52.5084,13.3284,201
52.5084,13.3278,270
52.5090,13.3264,305
52.5094,13.3258,318
52.5100,13.3246,309
52.5104,13.3241,323
52.5111,13.3232,322
52.5117,13.3227,333
52.5122,13.3226,353
52.5132,13.3226,0
52.5142,13.3220,340
52.5149,13.3224,19
52.5155,13.3229,27
52.5163,13.3238,34
52.5167,13.3243,37
